symbol,days_of_data,date_from,date_to,avg_volume,avg_close
KFINTECH,337,2023-12-26,2025-05-06,1153230.9554896143,900.6287833827893
TITAN,337,2023-12-26,2025-05-06,1148778.9851632048,3445.447626112758
KEC,337,2023-12-26,2025-05-06,1148267.3442136499,835.9909495548967
PEL,337,2023-12-26,2025-05-06,1144499.4599406528,970.796439169139
LTFOODS,337,2023-12-26,2025-05-06,1127546.6706231453,307.9892284866469
PNCINFRA,337,2023-12-26,2025-05-06,1105621.4332344213,387.5707715133534
OLECTRA,337,2023-12-26,2025-05-06,1104906.6824925817,1581.1054896142439
SYRMA,337,2023-12-26,2025-05-06,1097213.6676557863,495.9455489614244
HAVELLS,337,2023-12-26,2025-05-06,1095725.8130563798,1655.5885756676553
PRESTIGE,337,2023-12-26,2025-05-06,1093850.465875371,1494.6452522255195
INDIGO,337,2023-12-26,2025-05-06,1075995.5459940652,4172.075074183976
MFSL,337,2023-12-26,2025-05-06,1069828.3976261127,1064.5194362017799
NAM-INDIA,337,2023-12-26,2025-05-06,1066191.059347181,606.9635014836803
GNFC,337,2023-12-26,2025-05-06,1060648.9228486647,621.6798219584566
TRENT,337,2023-12-26,2025-05-06,1032808.4480712166,5420.120178041547
TANLA,337,2023-12-26,2025-05-06,1015183.5341246291,812.6038575667652
TORNTPOWER,337,2023-12-26,2025-05-06,1004553.0237388724,1473.4314540059347
STARHEALTH,337,2023-12-26,2025-05-06,1002534.7566765578,513.808605341246
JYOTHYLAB,337,2023-12-26,2025-05-06,995637.4836795252,447.17997032640915
BHARTIHEXA,263,2024-04-12,2025-05-06,984155.1216730038,1280.1946768060823
FIVESTAR,337,2023-12-26,2025-05-06,979208.8605341247,735.0320474777451
SYNGENE,337,2023-12-26,2025-05-06,970855.1127596439,767.2681008902076
JKTYRE,337,2023-12-26,2025-05-06,969753.1483679526,394.0434718100891
WELCORP,337,2023-12-26,2025-05-06,965666.878338279,669.439169139466
OBEROIRLTY,337,2023-12-26,2025-05-06,958905.2017804154,1715.1550445103846
PHOENIXLTD,337,2023-12-26,2025-05-06,948019.5578635015,1583.811127596439
INDGN,244,2024-05-13,2025-05-06,941177.9672131147,598.4936475409831
FACT,337,2023-12-26,2025-05-06,932084.3709198813,834.8928783382788
NATCOPHARM,337,2023-12-26,2025-05-06,925835.0474777448,1137.4511869436192
TVSMOTOR,337,2023-12-26,2025-05-06,919052.821958457,2374.8356083086037
TRIVENI,337,2023-12-26,2025-05-06,916916.706231454,387.83753709198777
APTUS,337,2023-12-26,2025-05-06,916439.3738872403,324.44688427299684
NESTLEIND,337,2023-12-26,2025-05-06,916005.2818991098,2423.0850148367945
GLENMARK,337,2023-12-26,2025-05-06,900727.3501483679,1325.549554896143
UNITDSPR,337,2023-12-26,2025-05-06,893912.0178041543,1345.2824925816014
EMAMILTD,337,2023-12-26,2025-05-06,886532.5727002968,611.0824925816019
EIHOTEL,337,2023-12-26,2025-05-06,877680.7091988131,391.3502967359051
GODREJPROP,337,2023-12-26,2025-05-06,864328.3293768546,2598.8369436201783
SARDAEN,337,2023-12-26,2025-05-06,863438.3768545995,353.2048071216616
CREDITACC,337,2023-12-26,2025-05-06,855880.2195845697,1222.3136498516315
UNOMINDA,337,2023-12-26,2025-05-06,852565.4629080119,904.8627596439168
SAREGAMA,337,2023-12-26,2025-05-06,840847.4005934718,479.7253709198812
TARIL,337,2023-12-26,2025-05-06,836234.2878338279,362.06112759643923
RKFORGE,337,2023-12-26,2025-05-06,802495.5786350148,819.0396142433244
SAPPHIRE,337,2023-12-26,2025-05-06,785216.8931750741,310.36973293768534
ICICIGI,337,2023-12-26,2025-05-06,782932.0,1801.5618694362013
SHYAMMETL,337,2023-12-26,2025-05-06,781365.5400593472,740.633234421365
360ONE,337,2023-12-26,2025-05-06,777069.9792284867,926.8875370919884
MPHASIS,337,2023-12-26,2025-05-06,775806.4629080119,2647.5856083086032
GRASIM,337,2023-12-26,2025-05-06,774436.6379821958,2477.005192878337
ELECON,337,2023-12-26,2025-05-06,770849.3501483679,555.107418397626
INTELLECT,337,2023-12-26,2025-05-06,768671.3115727003,899.4261127596442
NAVA,337,2023-12-26,2025-05-06,751854.8071216617,388.87551928783387
JUBLINGREA,337,2023-12-26,2025-05-06,743179.4302670623,619.6169139465875
GESHIP,337,2023-12-26,2025-05-06,723748.181008902,1072.6501483679526
PATANJALI,337,2023-12-26,2025-05-06,723268.4302670623,1683.167655786349
SUNTV,337,2023-12-26,2025-05-06,711418.5756676558,698.1802670623154
HEROMOTOCO,337,2023-12-26,2025-05-06,708834.1661721069,4586.965875370916
CANFINHOME,337,2023-12-26,2025-05-06,704459.2789317508,774.5013353115726
MGL,337,2023-12-26,2025-05-06,686037.5637982195,1450.8296735905046
JYOTICNC,322,2024-01-16,2025-05-06,674790.1770186336,1015.7208074534165
POLYCAB,337,2023-12-26,2025-05-06,673421.6884272997,6018.116913946587
CUMMINSIND,337,2023-12-26,2025-05-06,672829.646884273,3199.4468842729952
JBMA,337,2023-12-26,2025-05-06,665667.2908011869,861.887982195846
WOCKPHARMA,337,2023-12-26,2025-05-06,660841.6320474778,952.7443620178043
MUTHOOTFIN,337,2023-12-26,2025-05-06,659389.9287833828,1852.614985163204
DATAPATTNS,337,2023-12-26,2025-05-06,649872.0415430267,2415.210682492582
MANKIND,337,2023-12-26,2025-05-06,639581.4451038575,2358.2979228486643
SUMICHEM,337,2023-12-26,2025-05-06,635554.6290801187,479.73664688427334
MINDACORP,337,2023-12-26,2025-05-06,635314.5608308605,484.89866468842706
APLAPOLLO,337,2023-12-26,2025-05-06,632670.2195845697,1515.8826409495557
SRF,337,2023-12-26,2025-05-06,613941.9525222552,2495.3241839762595
